iter	Passed	Remaining
0	3	696
1	9	897
2	12	827
3	16	793
4	18	711
5	21	710
6	25	715
7	27	664
8	31	658
9	34	660
10	38	665
11	42	666
12	45	659
13	48	648
14	56	692
15	60	691
16	63	683
17	68	694
18	71	681
19	75	679
20	79	680
21	83	676
22	89	686
23	93	686
24	98	690
25	103	692
26	107	687
27	109	671
28	113	667
29	116	659
30	121	664
31	125	660
32	129	655
33	132	648
34	138	651
35	141	646
36	145	642
37	150	639
38	154	638
39	158	634
40	162	628
41	168	632
42	173	632
43	176	627
44	180	620
45	186	622
46	189	617
47	192	610
48	195	603
49	201	604
50	204	598
51	208	592
52	211	585
53	215	582
54	218	576
55	222	572
56	225	566
57	229	562
58	233	558
59	235	549
60	238	544
61	242	538
62	246	536
63	250	532
64	254	527
65	257	522
66	262	520
67	265	516
68	269	512
69	273	507
70	277	503
71	280	499
72	284	494
73	287	489
74	290	484
75	295	482
76	299	478
77	302	473
78	306	469
79	311	467
80	315	463
81	318	458
82	320	452
83	325	449
84	329	445
85	332	441
86	336	436
87	339	431
88	342	427
89	346	423
90	350	419
91	353	415
92	354	408
93	359	405
94	363	401
95	366	397
96	370	393
97	375	390
98	379	387
99	382	382
100	386	378
101	391	376
102	395	372
103	398	368
104	401	363
105	407	360
106	410	357
107	414	352
108	417	348
109	423	346
110	427	342
111	431	338
112	434	334
113	440	332
114	444	328
115	447	324
116	453	321
117	458	318
118	461	314
119	465	310
120	470	307
121	474	303
122	478	299
123	481	294
124	486	291
125	490	288
126	494	284
127	498	280
128	503	277
129	506	272
130	510	268
131	513	264
132	519	261
133	523	257
134	526	253
135	530	249
136	536	246
137	539	242
138	543	238
139	548	235
140	553	231
141	556	227
142	561	223
143	569	221
144	574	218
145	578	214
146	583	210
147	587	206
148	591	202
149	594	198
150	599	194
151	602	190
152	606	186
153	609	182
154	614	178
155	617	174
156	620	170
157	623	165
158	628	162
159	632	158
160	636	154
161	639	149
162	642	145
163	647	142
164	650	138
165	653	133
166	657	129
167	661	126
168	665	122
169	668	118
170	672	114
171	677	110
172	681	106
173	684	102
174	687	98
175	689	94
176	695	90
177	698	86
178	701	82
179	704	78
180	710	74
181	714	70
182	717	66
183	720	62
184	725	58
185	729	54
186	732	50
187	735	46
188	740	43
189	744	39
190	747	35
191	750	31
192	756	27
193	760	23
194	763	19
195	766	15
196	769	11
197	774	7
198	777	3
199	780	0
