Site Name,Geographical Coordinates
97 avenue Denfert Rochereau,"48.83504, 2.33314"
106 avenue Denfert Rochereau,"48.83507, 2.33305"
135 avenue Daumesnil,"48.843435, 2.383378"
28 boulevard Diderot,"48.84613, 2.37559"
39 quai François Mauriac,"48.83436, 2.377"
18 quai de l'Hôtel de Ville,"48.85372, 2.35702"
27 boulevard Diderot,"48.846099, 2.375456"
Voie Georges Pompidou,"48.84837, 2.27596"
67 boulevard Voltaire,"48.86149, 2.37376"
10 avenue de la Grande Armée,"48.8748, 2.2924"
7 avenue de la Grande Armée,"48.87474, 2.29219"
72 boulevard Voltaire,"48.86155, 2.37407"
89 boulevard de Magenta,"48.87756, 2.35535"
16 avenue de la Porte des Ternes,"48.88156, 2.28122"
Pont du Garigliano,"48.83994, 2.26692"
102 boulevard de Magenta,"48.87769, 2.35475"
Face au 16 avenue de la  Porte des Ternes,"48.88168, 2.28113"
21 boulevard Auguste Blanqui,"48.83074, 2.35373"
72 boulevard Richard Lenoir,"48.86081, 2.37301"
Pont National,"48.82639, 2.38448"
Face au 48 quai de la marne,"48.89128, 2.38606"
77 boulevard Richard Lenoir,"48.86089, 2.37212"
Face 104 rue d'Aubervilliers,"48.890457, 2.368852"
Face au 70 quai de Bercy,"48.829523, 2.38699"
6 rue Julia Bartet,"48.82624, 2.30281"
Face au 25 quai de l'Oise,"48.89141, 2.38482"
Pont National,"48.82682, 2.38491"
35 boulevard de Ménilmontant,"48.860528, 2.388364"
Pont du Garigliano,"48.83992, 2.26708"
152 boulevard du Montparnasse,"48.84017, 2.33438"
10 boulevard Auguste Blanqui,"48.83082, 2.35317"
243 boulevard Saint Germain,"48.86179, 2.32014"
Totem 64 Rue de Rivoli,"48.85735, 2.35211"
87 avenue de Flandre,"48.88926, 2.37472"
72 avenue de Flandre,"48.889046, 2.374872"
44 avenue des Champs Elysées,"48.86999, 2.30743"
180 avenue d'Italie,"48.82048, 2.35873"
129 rue Lecourbe,"48.84222, 2.30102"
147 avenue d'Italie,"48.82009, 2.3588"
33 avenue des Champs Elysées,"48.86999, 2.30722"
132 rue Lecourbe,"48.84209, 2.30115"
Pont de la Concorde,"48.86373, 2.31973"
Pont des Invalides,"48.86279, 2.31055"
Pont de la Concorde,"48.86382, 2.32006"
Pont des Invalides,"48.86281, 2.31037"
Face au 8 avenue de la porte de Charenton,"48.830331, 2.400551"
Face au 4 avenue de la porte de Bagnolet,"48.86485, 2.40966"
Pont Charles De Gaulle,"48.84223, 2.36811"
36 quai de Grenelle,"48.85174, 2.28593"
Face au 40 quai D'Issy,"48.83428, 2.26526"
Pont de Bercy,"48.83848, 2.37587"
38 rue Turbigo,"48.86502, 2.35387"
Quai d'Orsay,"48.8629, 2.3118"
27 quai de la Tournelle,"48.85013, 2.35423"
Totem 85 quai d'Austerlitz,"48.84201, 2.36729"
Totem Cours la Reine,"48.86462, 2.31444"
Totem 73 boulevard de Sébastopol,"48.86377, 2.35096"
Quai des Tuileries,"48.8635, 2.32239"
9 boulevard Jourdan,"48.81964, 2.34173"
24 boulevard Jourdan,"48.82029, 2.33936"
27 boulevard Davout,"48.84935, 2.41143"
42 boulevard Soult,"48.8402, 2.40889"
51 boulevard du Général Martial Valin,"48.837006, 2.274824"
56 boulevard Kellermann,"48.820988, 2.350291"
72 boulevard Brune,"48.82561, 2.314274"
77 boulevard Masséna,"48.821204, 2.368576"
81 boulevard Mortier,"48.86922, 2.408714"
98 boulevard Poniatowski,"48.834624, 2.405283"
163 boulevard Brune,"48.824237, 2.321219"
Face au 49 boulevard du Général Martial Valin,"48.837055, 2.274019"
